Name,Title,Id,Listing URL,Price,Qualifier,City,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleaning Fee,Airbnb Service Fee,Total Charged for Stay,Early Bird Discount,Can Instant Book,Cleanliness Rating,Original Price,Discounted Price,Accessibility Label,Main Message,Listing Type,Room Type Category,Latitude,Longitude,Locale,More Details,Date Scraped,Total Nights (Search Input),Check-in Date (Search Input),Check-out Date (Search Input),# of Adults (Search Input),Search Query,Subtitle,Guests (Premium Data),Data as Of (Premium Data),Data Start Date (for 30 Day Intervals) (Premium Data),% Booked 1st 30 Days (Premium Data),% Booked Days 31-60 (Premium Data),% Booked Days 61-90 (Premium Data),Data Start Date (for Months) (Premium Data),Month 1 (Premium Data),% Booked in Month 1 (Premium Data),Month 2 (Premium Data),% Booked in Month 2 (Premium Data),Month 3 (Premium Data),% Booked in Month 3 (Premium Data),Data Start Date (for Reviews) (Premium Data),Past Year's # of Reviews (Premium Data)
"Waterfront Coach House Loft","Loft in Mississauga","20278283","https://www.airbnb.ca/rooms/20278283","$204 CAD","per night","","2","1","1","4.96","913","$35 CAD","$120 CAD","$815 CAD","","No","","","","$204 CAD per night","2 beds","REGULAR","entire_home",43.55149,-79.59891,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Artsy Lakeside Condo","Room in Toronto","1067504817661445108","https://www.airbnb.ca/rooms/1067504817661445108","$186 CAD","per night","","1","1","1","4.86","22","$50 CAD","$99 CAD","$648 CAD","","No","4.9","","","$186 CAD per night","","REGULAR","private_room",43.63742871557701,-79.40538510346418,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Apartment in Leslieville / Toronto Beaches","Apartment in Toronto","929716425118528005","https://www.airbnb.ca/rooms/929716425118528005","$245 CAD","per night","","1","1","1","4.88","8","$95 CAD","$130 CAD","$825 CAD","","No","","","","$245 CAD per night","1 queen bed","REGULAR","entire_home",43.66559,-79.32485,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Service Condo_CN Tower Lakeview","Apartment in Toronto","950271172582183362","https://www.airbnb.ca/rooms/950271172582183362","$507 CAD","per night","","2","1","2","5","26","","$269 CAD","$1,906 CAD","","No","4.7","","","$507 CAD per night","2 beds","REGULAR","entire_home",43.6421649,-79.3816248,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy 1-bed app.5 min from YYZ","Apartment in Mississauga","1162754331688147130","https://www.airbnb.ca/rooms/1162754331688147130","$174 CAD","per night","","","1","1","5","4","$35 CAD","$111 CAD","$750 CAD","","No","","","","$174 CAD per night","","REGULAR","entire_home",43.70510875495849,-79.6432550800189,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"One bedroom vacation rental at The Beaches","Apartment in Toronto","893628647065795349","https://www.airbnb.ca/rooms/893628647065795349","$264 CAD","per night","","","1","1","4.91","77","$55 CAD","$140 CAD","$935 CAD","","No","","","","$264 CAD per night","","REGULAR","entire_home",43.66972,-79.29365,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Charming artistic studio","Guest suite in Toronto","907403624045669025","https://www.airbnb.ca/rooms/907403624045669025","$160 CAD","per night","","1","1","1","4.93","45","","$85 CAD","$600 CAD","","No","","","","$160 CAD per night","1 queen bed","REGULAR","entire_home",43.67435,-79.4466,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Near Airport Free Parking Private Clean Bedrm #1","Room in Toronto","595399117317992436","https://www.airbnb.ca/rooms/595399117317992436","$93 CAD","per night","","1","2","1","4.89","240","$28 CAD","$49 CAD","$321 CAD","","No","","","","$93 CAD per night","","REGULAR","private_room",43.701061,-79.555756,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Gorgeous 2BR Suite with Lake view, Free Parking!","Place to stay in Toronto","1058113644935906992","https://www.airbnb.ca/rooms/1058113644935906992","$381 CAD","per night","","3","2","2","4.89","19","$90 CAD","$224 CAD","$1,495 CAD","","No","4.6","","","$381 CAD per night","3 beds","REGULAR","private_room",43.64822,-79.39166,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"The Basil Unit","Guest suite in Toronto","1023350921636220292","https://www.airbnb.ca/rooms/1023350921636220292","$147 CAD","per night","","","1","1","","","$50 CAD","$78 CAD","$500 CAD","","No","","","","$147 CAD per night","","REGULAR","entire_home",43.755440045736805,-79.19746235820824,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Spacious Leslieville Retreat","Home in Toronto","883512607772666952","https://www.airbnb.ca/rooms/883512607772666952","$224 CAD","per night","","","1","1","4.94","17","$60 CAD","$119 CAD","$780 CAD","","No","4.8","","","$224 CAD per night","","REGULAR","entire_home",43.67389652167218,-79.32760782480409,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Peaceful bedroom with pool, deck, private entrance","Room in Toronto","758197503356493530","https://www.airbnb.ca/rooms/758197503356493530","$113 CAD","per night","","1","2","1","4.96","78","$29 CAD","$60 CAD","$395 CAD","","No","","","","$113 CAD per night","","REGULAR","private_room",43.63227,-79.50325,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Midtown Guest Suite With Free Parking","Guest suite in Toronto","987613937191497635","https://www.airbnb.ca/rooms/987613937191497635","$294 CAD","per night","","1","1","1","4.97","33","$70 CAD","$156 CAD","$1,151 CAD","","No","","$317 CAD","$294 CAD","$294 CAD per night, originally $317 CAD","1 queen bed","REGULAR","entire_home",43.70557,-79.39192,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Luxury 1BD Suite/A+ Location!","Apartment in Toronto","789887184465563839","https://www.airbnb.ca/rooms/789887184465563839","$177 CAD","per night","","1","1","","5","13","$90 CAD","$94 CAD","$575 CAD","","No","","","","$177 CAD per night","1 king bed","REGULAR","entire_home",43.804343175956944,-79.38303187260077,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"#2 Private room close to Lansdowne Subway Station","Room in Toronto","899940046790837192","https://www.airbnb.ca/rooms/899940046790837192","$94 CAD","per night","","1","1","","4.93","55","$30 CAD","$50 CAD","$325 CAD","","No","4.9","$121 CAD","$94 CAD","$94 CAD per night, originally $121 CAD","","REGULAR","private_room",43.66591366864222,-79.44230087233933,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Upper Beach home away from home!","Home in Toronto","1160437036033280101","https://www.airbnb.ca/rooms/1160437036033280101","$201 CAD","per night","","","1","1","5","3","$30 CAD","$107 CAD","$725 CAD","","No","","","","$201 CAD per night","","REGULAR","entire_home",43.68527255833053,-79.27903387695551,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Spacious Private unit in Kensington Market","Apartment in Toronto","22062857","https://www.airbnb.ca/rooms/22062857","$179 CAD","per night","","1","1","1","4.92","211","$35 CAD","$95 CAD","$639 CAD","","No","4.9","","","$179 CAD per night","1 king bed","REGULAR","entire_home",43.65786,-79.4011,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Yorkville Plaza 1 bedroom 30th floor w/9ft Ceiling","Apartment in Toronto","911971629100430978","https://www.airbnb.ca/rooms/911971629100430978","$385 CAD","per night","","","1","1","5","26","$100 CAD","$204 CAD","$1,345 CAD","","No","","$455 CAD","$385 CAD","$385 CAD per night, originally $455 CAD","","REGULAR","entire_home",43.6703938,-79.39430279999999,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy Room in Toronto (Centennial College)","Room in Scarborough","986136475488598180","https://www.airbnb.ca/rooms/986136475488598180","$81 CAD","per night","","1","1","1","5","18","$30 CAD","$43 CAD","$275 CAD","","No","","","","$81 CAD per night","","REGULAR","private_room",43.7999484,-79.2300149,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Spacious one Bedroom(#3), Toronto","Room in North York","1043301913391131003","https://www.airbnb.ca/rooms/1043301913391131003","$78 CAD","per night","","1","1","1","5","3","$69 CAD","$42 CAD","$225 CAD","","No","","","","$78 CAD per night","","REGULAR","private_room",43.77711,-79.32682,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
