Name,Title,Id,Listing URL,Price,Qualifier,City,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleaning Fee,Airbnb Service Fee,Total Charged for Stay,Early Bird Discount,Can Instant Book,Cleanliness Rating,Original Price,Discounted Price,Accessibility Label,Main Message,Listing Type,Room Type Category,Latitude,Longitude,Locale,More Details,Date Scraped,Total Nights (Search Input),Check-in Date (Search Input),Check-out Date (Search Input),# of Adults (Search Input),Search Query,Subtitle,Guests (Premium Data),Data as Of (Premium Data),Data Start Date (for 30 Day Intervals) (Premium Data),% Booked 1st 30 Days (Premium Data),% Booked Days 31-60 (Premium Data),% Booked Days 61-90 (Premium Data),Data Start Date (for Months) (Premium Data),Month 1 (Premium Data),% Booked in Month 1 (Premium Data),Month 2 (Premium Data),% Booked in Month 2 (Premium Data),Month 3 (Premium Data),% Booked in Month 3 (Premium Data),Data Start Date (for Reviews) (Premium Data),Past Year's # of Reviews (Premium Data)
"Debonair Condo Heart of Toronto w/Free Parking","Apartment in Toronto","1002992424634465181","https://www.airbnb.ca/rooms/1002992424634465181","$400 CAD","per night","","1","1","1","4.98","51","$80 CAD","","$1,806 CAD","","No","","","","$400 CAD per night","1 queen bed","REGULAR","entire_home",43.6522051,-79.3707929,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Charming room in Upper Beaches home","Room in Toronto","8049960","https://www.airbnb.ca/rooms/8049960","$100 CAD","per night","","1","","1","4.97","212","$40 CAD","$59 CAD","$375 CAD","","No","","","","$100 CAD per night","","REGULAR","private_room",43.6858525212981,-79.3068801464599,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Charming Suite","Apartment in Toronto","1158047933349527140","https://www.airbnb.ca/rooms/1158047933349527140","$212 CAD","per night","","2","1","1","","","$120 CAD","$112 CAD","$675 CAD","","No","","","","$212 CAD per night","2 beds","REGULAR","entire_home",43.6855477,-79.4383359,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy Studio Apartment City View | Downtown Toronto","Condo in Toronto","1099366523167411300","https://www.airbnb.ca/rooms/1099366523167411300","$246 CAD","per night","","","1","","5","7","$22 CAD","$131 CAD","$903 CAD","","No","4.6","","","$246 CAD per night","","REGULAR","entire_home",43.64932,-79.38813,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy private room in Downtown Toronto","Room in Toronto","994850352855897866","https://www.airbnb.ca/rooms/994850352855897866","$153 CAD","per night","","1","1","1","4.98","48","$50 CAD","$81 CAD","$525 CAD","","No","","","","$153 CAD per night","","REGULAR","private_room",43.65257425207453,-79.4096427139983,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"One queen bed with a private bathroom by subway","Room in Toronto","14733628","https://www.airbnb.ca/rooms/14733628","$108 CAD","per night","","1","1","1","4.72","181","$80 CAD","$57 CAD","$325 CAD","","No","4.7","","","$108 CAD per night","","REGULAR","private_room",43.77266,-79.42044,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Joyful Spacious Triple Room with Private Bathroom","Room in Toronto","537874966914676930","https://www.airbnb.ca/rooms/537874966914676930","$120 CAD","per night","","1","1","1","4.97","68","$50 CAD","$64 CAD","$400 CAD","","No","","","","$120 CAD per night","","REGULAR","private_room",43.65952,-79.53146,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Best Location Downtown Toronto renovated Apartment","Apartment in Toronto","871680273777423511","https://www.airbnb.ca/rooms/871680273777423511","$256 CAD","per night","","1","1","1","4.96","25","","$138 CAD","$978 CAD","","No","4.9","$289 CAD","$256 CAD","$256 CAD per night, originally $289 CAD","1 king bed","REGULAR","entire_home",43.64379,-79.42866,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Stylish new unit in High Park","Home in Toronto","1162661717018163268","https://www.airbnb.ca/rooms/1162661717018163268","$250 CAD","per night","","","1","1","5","3","$90 CAD","$133 CAD","$850 CAD","","No","","","","$250 CAD per night","","REGULAR","entire_home",43.6590627,-79.4661536,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"The Citrus Unit","Guest suite in Toronto","1023332868472132471","https://www.airbnb.ca/rooms/1023332868472132471","$121 CAD","per night","","","1","1","5","3","$50 CAD","$64 CAD","$405 CAD","","No","","","","$121 CAD per night","","REGULAR","entire_home",43.756536939881784,-79.19773059333791,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
