Name,Title,Id,Listing URL,Price,Qualifier,City,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleaning Fee,Airbnb Service Fee,Total Charged for Stay,Early Bird Discount,Can Instant Book,Cleanliness Rating,Original Price,Discounted Price,Accessibility Label,Main Message,Listing Type,Room Type Category,Latitude,Longitude,Locale,More Details,Date Scraped,Total Nights (Search Input),Check-in Date (Search Input),Check-out Date (Search Input),# of Adults (Search Input),Search Query,Subtitle,Guests (Premium Data),Data as Of (Premium Data),Data Start Date (for 30 Day Intervals) (Premium Data),% Booked 1st 30 Days (Premium Data),% Booked Days 31-60 (Premium Data),% Booked Days 61-90 (Premium Data),Data Start Date (for Months) (Premium Data),Month 1 (Premium Data),% Booked in Month 1 (Premium Data),Month 2 (Premium Data),% Booked in Month 2 (Premium Data),Month 3 (Premium Data),% Booked in Month 3 (Premium Data),Data Start Date (for Reviews) (Premium Data),Past Year's # of Reviews (Premium Data)
"centrally located Riverdale charm","Room in Toronto","14585169","https://www.airbnb.ca/rooms/14585169","$100 CAD","per night","","1","","1","4.91","257","","$53 CAD","$375 CAD","","No","4.9","","","$100 CAD per night","","REGULAR","private_room",43.67763,-79.34799,"en","Guest favourite","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Bedroom Near Subway/B2","Home in North York","1180078908959142125","https://www.airbnb.ca/rooms/1180078908959142125","$75 CAD","per night","","1","1","1","","","$60 CAD","$40 CAD","$223 CAD","","No","","","","$75 CAD per night","1 bed","REGULAR","entire_home",43.77171,-79.37669,"en","","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cosy Room in Lovely Leslieville - STR-2009-FRCKPC","Room in Leslieville","6196536","https://www.airbnb.ca/rooms/6196536","$88 CAD","per night","","1","","1","4.9","332","$30 CAD","$47 CAD","$300 CAD","","No","4.9","","","$88 CAD per night","","REGULAR","private_room",43.66457,-79.3265,"en","Guest favourite","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Newly Reno’d Modern Suite By Subway w/Free Parking","Guest suite in East York","44089854","https://www.airbnb.ca/rooms/44089854","$205 CAD","per night","","2","1","1","4.97","111","$50 CAD","$109 CAD","$720 CAD","","No","","","","$205 CAD per night","2 beds","REGULAR","entire_home",43.68832,-79.31425,"en","Guest favourite","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Kensington Hospitality","Townhouse in Downtown Toronto","16140709","https://www.airbnb.ca/rooms/16140709","$196 CAD","per night","","2","1","1","4.88","249","$90 CAD","$104 CAD","$645 CAD","","No","4.9","","","$196 CAD per night","2 beds","REGULAR","entire_home",43.65610211032215,-79.407698775427,"en","Guest favourite","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Heart of West Queen West","Apartment in West Queen West","994856072746202586","https://www.airbnb.ca/rooms/994856072746202586","$111 CAD","per night","","","1","1","4.82","33","","$59 CAD","$415 CAD","","No","4.8","","","$111 CAD per night","","REGULAR","entire_home",43.6432076,-79.42755559999999,"en","Guest favourite","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Spacious Condo - Central Toronto!","Condo in East Danforth","1180547082320802062","https://www.airbnb.ca/rooms/1180547082320802062","$272 CAD","per night","","2","2","1","","","$40 CAD","$144 CAD","$980 CAD","","No","","","","$272 CAD per night","2 beds","REGULAR","entire_home",43.688034078122136,-79.30580196822943,"en","","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Rachel's Room","Room in Downtown Toronto","33716383","https://www.airbnb.ca/rooms/33716383","$120 CAD","per night","","1","1","1","4.97","374","$25 CAD","$64 CAD","$425 CAD","","No","","","","$120 CAD per night","","REGULAR","private_room",43.66574648315633,-79.38435659984005,"en","Guest favourite","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Modern and cozy space in trendy Queen/Dundas West!","Room in Little Portugal","23377937","https://www.airbnb.ca/rooms/23377937","$116 CAD","per night","","1","1","","4.91","380","$30 CAD","$68 CAD","$453 CAD","","No","4.8","","","$116 CAD per night","","REGULAR","private_room",43.64856,-79.4318,"en","Guest favourite","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy private space in mid-town Toronto","Home in Midtown","28383831","https://www.airbnb.ca/rooms/28383831","$143 CAD","per night","","1","1","1","4.93","110","$65 CAD","$76 CAD","$470 CAD","","No","4.9","","","$143 CAD per night","1 queen bed","REGULAR","entire_home",43.67930579277292,-79.42780720519674,"en","Guest favourite","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
